Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,17-08-2018,Betis,Levante,0,3,A,0,1,A,22,6,8,4,10,10,5,3,0,2,0,0,1.66,4,5
SP1,17-08-2018,Girona,Valladolid,0,0,D,0,0,D,13,2,1,1,21,20,3,2,1,1,0,0,1.75,3.6,5
SP1,18-08-2018,Barcelona,Alaves,3,0,H,0,0,D,25,3,9,0,6,13,7,1,0,2,0,0,1.11,10,21
SP1,18-08-2018,Celta,Espanol,1,1,D,0,1,A,12,14,2,5,13,14,8,7,3,2,0,0,1.85,3.5,4.5
SP1,18-08-2018,Villarreal,Sociedad,1,2,A,1,1,D,16,8,7,4,16,10,4,6,2,3,0,0,2.04,3.4,3.8
SP1,19-08-2018,Eibar,Huesca,1,2,A,0,2,A,18,8,6,6,12,13,7,0,1,1,0,0,1.66,3.75,5.5
SP1,19-08-2018,Real Madrid,Getafe,2,0,H,1,0,H,10,4,3,1,11,27,3,0,1,7,0,0,1.2,7,13
SP1,19-08-2018,Vallecano,Sevilla,1,4,A,0,3,A,13,17,2,8,6,15,2,6,1,0,0,0,3.25,3.6,2.14
SP1,20-08-2018,Ath Bilbao,Leganes,2,1,H,1,1,D,17,12,5,2,12,13,6,2,4,5,0,0,1.75,3.3,5.5
SP1,20-08-2018,Valencia,Ath Madrid,1,1,D,0,1,A,13,9,4,3,10,15,4,10,2,3,0,0,3,3.2,2.5
SP1,24-08-2018,Getafe,Eibar,2,0,H,1,0,H,7,9,4,0,14,11,5,5,2,1,0,0,1.95,3.2,4.33
SP1,24-08-2018,Leganes,Sociedad,2,2,D,0,2,A,18,7,5,6,12,9,5,0,1,2,0,0,3.5,3.3,2.1
SP1,25-08-2018,Alaves,Betis,0,0,D,0,0,D,16,13,4,5,17,15,5,6,3,1,0,0,2.8,3.25,2.6
SP1,25-08-2018,Ath Madrid,Vallecano,1,0,H,0,0,D,9,13,2,3,7,8,8,5,1,1,0,0,1.16,7,21
SP1,25-08-2018,Valladolid,Barcelona,0,1,A,0,0,D,7,10,4,5,13,11,6,10,1,1,0,0,17,7.5,1.16
SP1,26-08-2018,Espanol,Valencia,2,0,H,0,0,D,19,16,9,4,16,12,6,10,1,1,0,0,3.25,3.2,2.37
SP1,26-08-2018,Girona,Real Madrid,1,4,A,1,1,D,10,20,5,8,13,11,4,7,2,3,0,0,8,5.5,1.36
SP1,26-08-2018,Sevilla,Villarreal,0,0,D,0,0,D,19,14,2,6,13,14,4,5,3,2,0,0,1.72,4.2,4.33
SP1,27-08-2018,Ath Bilbao,Huesca,2,2,D,0,0,D,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5
SP1,27-08-2018,Levante,Celta,1,2,A,0,2,A,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3
SP1,31-08-2018,Eibar,Sociedad,2,1,H,1,1,D,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62
SP1,31-08-2018,Getafe,Valladolid,0,0,D,0,0,D,12,7,3,4,22,14,6,7,3,1,0,0,1.9,3.2,4.75
SP1,31-08-2018,Villarreal,Girona,0,1,A,0,0,D,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4,6
SP1,01-09-2018,Celta,Ath Madrid,2,0,H,0,0,D,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75
SP1,01-09-2018,Real Madrid,Leganes,4,1,H,1,1,D,17,8,8,3,11,11,8,1,1,1,0,0,1.12,9,21
SP1,02-09-2018,Alaves,Espanol,2,1,H,0,1,A,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54
SP1,02-09-2018,Barcelona,Huesca,8,2,H,3,2,H,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11,29
SP1,02-09-2018,Betis,Sevilla,1,0,H,0,0,D,11,8,3,2,15,17,5,8,3,6,0,1,2.8,3.5,2.45
SP1,02-09-2018,Levante,Valencia,2,2,D,2,1,H,13,18,4,5,14,10,3,5,4,2,1,0,3.75,3.4,2
SP1,14-09-2018,Huesca,Vallecano,0,1,A,0,1,A,14,14,4,2,16,18,6,3,2,1,0,0,2.14,3.5,3.4
SP1,15-09-2018,Ath Bilbao,Real Madrid,1,1,D,1,0,H,11,16,3,6,18,6,1,2,6,2,0,0,6,4.33,1.53
SP1,15-09-2018,Ath Madrid,Eibar,1,1,D,0,0,D,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12
SP1,15-09-2018,Sociedad,Barcelona,1,2,A,1,0,H,8,12,5,6,18,8,1,6,1,1,0,0,7,5.25,1.4
SP1,15-09-2018,Valencia,Betis,0,0,D,0,0,D,12,11,2,6,22,9,5,4,6,3,0,0,1.75,3.75,4.75
SP1,16-09-2018,Espanol,Levante,1,0,H,0,0,D,22,16,9,4,17,13,5,4,1,2,0,0,1.72,3.6,5.25
SP1,16-09-2018,Leganes,Villarreal,0,1,A,0,0,D,16,9,3,3,16,9,6,1,4,3,0,0,3,3.1,2.54
SP1,16-09-2018,Sevilla,Getafe,0,2,A,0,2,A,15,10,1,5,10,22,7,1,3,6,0,0,1.55,4,7
SP1,16-09-2018,Valladolid,Alaves,0,1,A,0,0,D,15,10,5,4,9,12,7,2,3,2,0,0,2.2,3.1,3.6
SP1,17-09-2018,Girona,Celta,3,2,H,2,1,H,11,20,6,7,15,11,3,1,1,3,0,1,2.4,3.3,3
SP1,21-09-2018,Huesca,Sociedad,0,1,A,0,0,D,13,7,3,1,16,12,7,5,5,3,0,2,3.6,3.4,2.1
SP1,22-09-2018,Celta,Valladolid,3,3,D,2,1,H,12,14,5,4,9,11,7,8,2,2,0,0,1.75,3.5,5.25
SP1,22-09-2018,Eibar,Leganes,1,0,H,0,0,D,14,4,3,2,16,17,5,2,1,1,0,0,2.04,3.2,4
SP1,22-09-2018,Getafe,Ath Madrid,0,2,A,0,1,A,11,7,2,4,12,15,1,5,1,2,1,0,5,3.3,1.8
SP1,22-09-2018,Real Madrid,Espanol,1,0,H,1,0,H,19,10,5,3,5,16,8,3,2,2,0,0,1.18,7,15
SP1,22-09-2018,Vallecano,Alaves,1,5,A,1,2,A,13,11,4,7,14,12,8,4,1,2,1,0,2.04,3.4,3.6
SP1,23-09-2018,Barcelona,Girona,2,2,D,1,1,D,22,7,11,6,9,16,8,2,3,5,1,0,1.08,11,21
SP1,23-09-2018,Betis,Ath Bilbao,2,2,D,0,2,A,15,7,3,4,13,20,6,1,2,7,0,1,2.14,3.3,3.6
SP1,23-09-2018,Levante,Sevilla,2,6,A,1,4,A,19,20,10,9,5,18,8,4,1,1,0,0,3.5,3.6,2.04
SP1,23-09-2018,Villarreal,Valencia,0,0,D,0,0,D,11,12,1,2,12,12,8,6,4,1,0,1,2.25,3.25,3.3
